95 7864320
32 0 0
33 97017351 66375805
34 121585751 0
35 189996947 190865094
36 207421891 224218269
37 213439710 201628292
38 196087711 268722709
39 63319335 0
40 98701003 130598156
41 101441465 127623826
42 167592599 8287178
43 42996110 149219428
44 0 108405296
45 0 66039357
46 0 58526410
47 84753654 97221299
48 217210244 216470599
49 126932100 153598413
50 133978202 167727885
51 143095663 145431363
52 150489799 191321116
53 164511928 137349119
54 162895944 189694786
55 156674758 85090994
56 203140345 215126480
57 186672070 165958720
58 49615114 49615119
59 49615114 108405390
60 63749484 99018394
61 80049136 90206208
62 63901731 98183206
63 139302588 67113998
64 234372636 336814481
65 150875868 217204389
66 215249625 212938432
67 136835120 142240788
68 197674108 195610843
69 170796024 155603368
70 163740045 106018854
71 162766369 211666212
72 193035352 177206915
73 139860336 140976770
74 131031747 122310242
75 164846315 173894879
76 79494061 138245368
77 252105424 177476099
78 215213984 216933299
79 191504021 192021245
80 196209924 131444543
81 191944550 267814862
82 207304426 174935833
83 153293479 162804955
84 158274792 79361632
85 156352205 186028485
86 167361491 152452651
87 167786970 257380982
88 166418628 178027670
89 175534338 92372116
90 162202888 167151261
91 119493186 149845517
92 84753648 97221286
93 120372941 151091069
94 128041552 0
95 0 109183187
96 34708994 0
97 90841646 220187694
98 174300794 183217388
99 86722657 127691954
100 162174739 196539416
101 103802585 202561548
102 200318191 78039080
103 123581677 339043332
104 171835558 153433622
105 110080307 139012994
106 128988006 166854584
107 141500469 175506957
108 118458716 139012994
109 154017575 211222243
110 122706192 153433611
111 111843558 185013453
112 125324210 234795030
113 113191830 246442972
114 124424798 81629925
115 84065490 165362786
116 147856622 114286906
117 81836052 194208396
118 89682793 148237247
119 88838429 248002015
120 97452913 167667282
121 89764876 223320797
122 102445564 148925661
123 106732307 155531235
124 108580094 117584396
125 108322229 153853502
126 24568961 113406035
